Id,SalePrice
1461,115802.907653292
1462,162332.392682379
1463,192147.95085176
1464,204597.494162522
1465,204742.823982586
1466,198602.252909601
1467,173191.541837148
1468,192060.782889612
1469,207088.747416635
1470,104685.185567766
1471,213561.270989595
1472,125616.70344517
1473,118144.430421623
1474,174687.474900157
1475,144548.306181311
1476,308692.146186447
1477,241154.120982656
1478,274603.859890104
1479,271469.625730718
1480,365625.491632013
1481,287732.657637673
1482,234062.55825616
1483,196590.299911701
1484,189554.910963037
1485,198385.935877428
1486,225749.171640362
1487,297578.668385929
1488,251467.579666273
1489,200430.688518923
1490,214652.376817864
1491,211931.983304927
1492,88842.0166710704
1493,202725.146681687
1494,275591.459374891
1495,271189.49151028
1496,226458.160336611
1497,208808.663786617
1498,177866.058489727
1499,177512.077588012
1500,166148.172654673
1501,180941.255227006
1502,168786.343275022
1503,248991.70890221
1504,245287.29485496
1505,227003.909191873
1506,204841.405284741
1507,255229.272270828
1508,215949.224109513
1509,170822.223828103
1510,143077.696404239
1511,141483.793142562
1512,166176.893132818
1513,167571.353016412
1514,181101.362905199
1515,219951.071883053
1516,167520.223193471
1517,163724.492070898
1518,164999.273851614
1519,215567.16476922
1520,130479.62040261
1521,136690.207236101
1522,193355.72350392
1523,117170.021052254
1524,118500.718406859
1525,117260.527069328
1526,120878.223759519
1527,69024.956676371
1528,136416.00689487
1529,134577.126020942
1530,181059.468003849
1531,121404.394887322
1532,98640.2716978168
1533,145736.223011051
1534,129165.779856365
1535,161024.392029254
1536,105945.181394137
1537,44196.1674663708
1538,152570.292196422
1539,167604.589608255
1540,144346.299539429
1541,128930.072678888
1542,144738.071878105
1543,192827.388334757
1544,64162.42127187
1545,117930.344688047
1546,142628.168721441
1547,150016.486885123
1548,143296.151021983
1549,95241.0910236983
1550,135440.138081331
1551,124675.683466605
1552,132975.269620306
1553,129885.383846517
1554,115277.541075541
1555,191398.960938781
1556,92791.8071426612
1557,113493.172600409
1558,105029.286836249
1559,101970.962845937
1560,129146.753977696
1561,173837.513072817
1562,117880.531895737
1563,115538.993336631
1564,182623.741946017
1565,166544.172704212
1566,226974.925517054
1567,61346.2533332855
1568,217133.138752298
1569,123518.693869026
1570,138323.26355217
1571,122602.880387974
1572,132224.012259295
1573,249567.631447066
1574,144035.919654956
1575,225234.807898092
1576,214242.428144691
1577,200471.145579214
1578,113521.976094363
1579,142672.047628204
1580,219761.192344342
1581,141710.229822248
1582,120289.082236555
1583,279955.919172412
1584,244831.801375365
1585,151482.717947042
1586,40380.8390961765
1587,102265.247953123
1588,143162.367693741
1589,99831.1940149609
1590,161745.932172175
1591,101005.621618916
1592,123398.795002884
1593,120703.253973159
1594,173912.18307688
1595,140512.242432729
1596,231483.976664687
1597,180381.439089202
1598,199833.30080525
1599,194532.293955474
1600,206581.311644483
1601,28433.7125179264
1602,103604.174748064
1603,54928.6901400671
1604,250655.038092205
1605,251120.137343514
